customer_id,name,phone,address
1,Neville Howe,(089) 43550773,Ap #938-4550 Convallis Avenue
2,Stacey Hurley,(0288) 74512968,6819 Nisl. Road
3,Christian Guerra,(03372) 0352767,1292 Et St.
4,Dorian Mcdaniel,(0181) 98847528,"3085 Elementum, Avenue"
5,Lisandra Lang,(0239) 25489715,Ap #720-9686 Sed Ave
6,Quail Booth,(0232) 62141828,Ap #988-8483 Justo Road
7,Keefe Tanner,(034055) 615666,6248 Mollis St.
8,Lana Norman,(036) 64224178,Ap #349-8900 Lobortis Avenue
9,Felix Howard,(038723) 532643,Ap #146-6735 Bibendum. Street
10,Jayme Murphy,(033139) 631507,448-1259 Aliquam Street
11,Tanner Wolf,(03787) 7492862,714-3285 Justo Street
12,Kelsie Flowers,(0584) 82474815,4854 Id Road
13,Orlando Brock,(032087) 831346,392-4360 Morbi Av.
14,Keiko Vargas,(0913) 22776443,Ap #619-6825 Eget Av.
15,Veda Gomez,(037682) 540637,4094 Dui. Avenue
16,Maris Bradford,(0787) 56816011,313-9832 Leo Avenue
17,Colin James,(074) 71258512,Ap #549-5860 Posuere Avenue
18,Hedley Barber,(036263) 196666,"P.O. Box 387, 9951 Arcu Avenue"
19,Uriah Love,(031392) 108756,"P.O. Box 504, 5517 Dolor Av."
20,Judith Pollard,(0408) 58649311,Ap #246-525 Ut Avenue
21,Cathleen Garcia,(00874) 0208646,Ap #779-2486 Ut Road
22,Amal Avila,(032131) 313494,941-9416 Libero Ave
23,Regan Melendez,(082) 63263630,2417 Ac Av.
24,Wang Whitney,(037136) 145728,819-9525 Metus. Avenue
25,Erin Mcgowan,(036803) 144378,"P.O. Box 488, 8400 Vestibulum. Rd."
26,Jaime Dunlap,(035485) 561180,7666 Natoque St.
27,Rana Webster,(03620) 5274587,"P.O. Box 877, 8032 Cursus Avenue"
28,Allegra Boyd,(072) 52745785,Ap #907-9027 Enim. Rd.
29,Tarik Hurst,(09674) 4120329,"P.O. Box 851, 8889 Duis Av."
30,Kadeem Pena,(034273) 792527,622-6103 Curabitur Rd.
31,Marsden Hale,(0668) 20218891,"Ap #641-1514 A, Av."
32,Lila Castaneda,(0428) 35837185,6674 Praesent St.
33,Ifeoma Bailey,(0741) 76219993,Ap #640-2999 Velit. Avenue
34,Cruz Herrera,(02833) 1537314,"P.O. Box 308, 4801 Enim Rd."
35,Rogan Mann,(0016) 29506479,739-8247 Per St.
36,Alfonso Holland,(0726) 21614082,454-1609 Sociis Street
37,Ezra Rosa,(0867) 46301954,Ap #802-1882 Interdum St.
38,Abdul Castillo,(05672) 9213252,"P.O. Box 665, 7294 Nulla. Rd."
39,Giacomo Bauer,(057) 11832835,"P.O. Box 967, 824 Enim Street"
40,Maryam Shepherd,(00673) 1182538,"P.O. Box 230, 7922 Fringilla. Street"
41,Charlotte Whitehead,(0469) 75810753,Ap #884-5324 Cum Rd.
42,Alea Gross,(032313) 694288,"9366 Enim, Av."
43,Quinn Richmond,(08126) 7934571,"P.O. Box 961, 5489 Mauris St."
44,Kibo Langley,(0446) 99109670,"Ap #691-7332 Leo, St."
45,Colleen Patrick,(0436) 72779768,"P.O. Box 512, 6027 A Road"
46,Rina Ratliff,(033571) 186239,4298 Sit Rd.
47,Palmer Savage,(06880) 0380065,"P.O. Box 635, 653 Velit. Rd."
48,Indigo Mcgowan,(038018) 512394,188-6013 Velit. St.
49,Cullen Solis,(0780) 11246324,1669 Vestibulum St.
50,Martin Sutton,(030046) 665491,Ap #221-3398 Nunc Rd.
51,MacKenzie Gay,(034208) 924724,Ap #946-4296 Varius Road
52,Lydia Sanders,(09935) 2975120,"P.O. Box 460, 8756 Pretium Av."
53,Camilla Hines,(0472) 49536062,Ap #458-319 Etiam Rd.
54,Yuri Lester,(06222) 2746804,Ap #643-1909 Nunc Avenue
55,Richard Boyd,(034878) 737428,"P.O. Box 175, 6906 Mi Road"
56,Ori Beck,(03613) 5497221,8725 Magna Road
57,Jesse Stafford,(084) 23611724,"P.O. Box 443, 1178 Ultricies Ave"
58,Gwendolyn Justice,(08655) 7171411,391-8389 Nisi Ave
59,Lysandra Gibbs,(09645) 1877825,592-952 Interdum Rd.
60,Reed Trujillo,(038739) 798139,Ap #368-6098 Aenean Rd.
61,Eugenia Larsen,(051) 11867356,3989 Ullamcorper Rd.
62,Austin Harrell,(012) 89221805,809-3169 Ipsum Avenue
63,Ruth Stanley,(0816) 96881718,Ap #153-3622 Ornare Av.
64,Rose Leach,(07819) 6786738,777-5033 Arcu St.
65,Justina Carlson,(060) 11353763,"891 Non, Av."
66,Griffith Wolfe,(0662) 23784873,"P.O. Box 319, 9908 Consectetuer Street"
67,Leroy Erickson,(032) 63538187,"P.O. Box 781, 5699 Sociosqu Ave"
68,Timon Leonard,(09184) 6185272,"P.O. Box 934, 7381 Duis Road"
69,Josephine Stephens,(033) 77530817,979-9287 Erat St.
70,Dalton Gaines,(0214) 31569145,"P.O. Box 395, 4311 Sollicitudin Road"
71,Rhea Travis,(022) 33638432,"Ap #501-8672 Aliquet, Av."
72,Colin Fleming,(030811) 981788,"P.O. Box 494, 9865 Nisi Street"
73,Brittany William,(046) 62518867,"P.O. Box 697, 9174 Sem Rd."
74,Cody Mckenzie,(068) 38138682,4669 Facilisis. Street
75,Brynn Morgan,(039) 51581579,322-5245 Dapibus St.
76,Daquan Bowman,(036) 73015471,801-9841 Gravida Road
77,Noelani Camacho,(06549) 8861534,225-1290 Cras Rd.
78,Len Mcintyre,(032843) 778917,"Ap #676-3452 Auctor, Road"
79,Jemima Case,(033813) 353118,Ap #773-4060 Sed Av.
80,Cally Vang,(06806) 2978187,7151 Sed Street
81,Walker Mcpherson,(06877) 1231572,"Ap #471-756 Vitae, Rd."
82,Wendy Salinas,(0352) 62129884,256-2989 Ut Street
